benchmark_id,label,evidence
track_a_v1.0:ICD9CM_TO_ICD10CM:0059,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:0551,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:0578,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:0658,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:07053,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:0773,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:0793,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:07999,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:0823,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:0828,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:09382,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:09482,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:09485,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:09836,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:09883,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:09884,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:09955,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:09956,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:1102,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
track_a_v1.0:ICD9CM_TO_ICD10CM:1106,unclear,BM25 failure/BioLORD success; mechanism not manually asserted
